duplicate_type,fingerprint,source_file,keep_file,size_bytes,review_status,reason
same_name_different_content,9.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2020年/2020年高考全国1英语高考真题-全国高考真题解析/附件/9.mp3,,917808,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十一应用文写作/专题资料包/专题资料包/专题资料包/专题资料包.docx,,45494,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十三概要写作/专题资料包/专题资料包/专题资料包/专题资料包.docx,,52096,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十二读后续写/专题资料包/专题资料包/专题资料包/专题资料包.docx,,74598,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十七阅读补全（七选五）/专题资料包/专题资料包/专题资料包/专题资料包.docx,,100693,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十三细节理解/专题资料包/专题资料包/专题资料包/专题资料包.docx,,79164,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十九语法填空/专题资料包/专题资料包/专题资料包/专题资料包.docx,,94030,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十五推理判断/专题资料包/专题资料包/专题资料包/专题资料包.docx,,167429,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十八完形填空/专题资料包/专题资料包/专题资料包/专题资料包.docx,,95728,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十六猜测词义/专题资料包/专题资料包/专题资料包/专题资料包.docx,,70588,review_required,normalized basename repeats but file content differs
same_name_different_content,专题资料包.docx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十四主旨要义/专题资料包/专题资料包/专题资料包/专题资料包.docx,,150058,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十一应用文写作/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,348057,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十三概要写作/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,241190,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十七阅读补全（七选五）/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,856950,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十三细节理解/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,1003256,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十九语法填空/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,926525,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十五推理判断/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,1000192,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十八完形填空/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,558726,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十六猜测词义/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,458244,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt方法技巧.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十四主旨要义/讲解部分PPT/讲解部分PPT—方法技巧/讲解PPT/讲解部分PPT—方法技巧.pptx,,384261,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十一应用文写作/讲解部分PPT/讲解部分PPT—考点清单/讲解PPT/讲解部分PPT—考点清单.pptx,,334684,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十三概要写作/讲解部分PPT/讲解部分PPT—考点清单/讲解PPT/讲解部分PPT—考点清单.pptx,,189626,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十二读后续写/讲解部分PPT/讲解部分PPT—考点清单/讲解PPT/讲解部分PPT—考点清单.pptx,,1237896,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题二十写作基础/讲解部分PPT/讲解部分PPT—考点清单/讲解PPT/讲解部分PPT—考点清单.pptx,,463264,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题十九语法填空/讲解部分PPT/讲解部分PPT—考点清单/讲解PPT/讲解部分PPT—考点清单.pptx,,209566,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt课标导航考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题一谓语动词的时态/讲解部分PPT/讲解部分PPT—课标导航、考点清单/讲解PPT/讲解部分PPT—课标导航、考点清单.pptx,,737554,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt课标导航考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题七名词、冠词和数词/讲解部分PPT/讲解部分PPT—课标导航、考点清单/讲解PPT/讲解部分PPT—课标导航、考点清单.pptx,,537847,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt课标导航考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题三主谓一致/讲解部分PPT/讲解部分PPT—课标导航、考点清单/讲解PPT/讲解部分PPT—课标导航、考点清单.pptx,,548992,review_required,normalized basename repeats but file content differs
same_name_different_content,讲解部分ppt课标导航考点清单.pptx,/Users/shidianjin/Documents/高考英语/新高考版高考总复习英语5·3A版/专题九介词和代词/讲解部分PPT/讲解部分PPT—课标导航、考点清单/讲解PPT/讲解部分PPT—课标导航、考点清单.pptx,,2493371,review_required,normalized basename repeats but file content differs
